Model,Accuracy,Precision,Recall,F1-Score,ROC-AUC,PR-AUC
Random Forest,0.997160143227559,0.9310344827586207,0.826530612244898,0.8756756756756757,0.9801580924833375,0.903540772191259
XGBoost,0.9954315347573774,0.7747747747747747,0.8775510204081632,0.8229665071770335,0.9855043629750363,0.913776525805582
Linear Regression,0.9946907025558711,0.9661016949152542,0.5816326530612245,0.7261146496815286,0.97948853332109,0.8547370060265836
